Release 14.7 - par P.20131013 (nt)
Copyright (c) 1995-2013 Xilinx, Inc.  All rights reserved.

Thu Mar 31 11:53:58 2016


INFO: The IO information is provided in three file formats as part of the Place and Route (PAR) process.  These formats are:
1. The <design name>_pad.txt file (this file) designed to provide information on IO usage in a human readable ASCII text format viewable through common text editors.
2. The <design namd>_pad.csv file for use with spreadsheet programs such as MS Excel. This file can also be read by PACE to communicate post PAR IO information.
3. The <design name>.pad file designed for parsing by customers.  It uses the "|" as a data field separator.

INPUT FILE:       CPU_map.ncd
OUTPUT FILE:      CPU_pad.txt
PART TYPE:        xc3s500e
SPEED GRADE:      -5
PACKAGE:          ft256

Pinout by Pin Number:

+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|Pin Number|Signal Name             |Pin Usage|Pin Name                 |Direction|IO Standard|IO Bank Number|Drive (mA)|Slew Rate|Termination|IOB Delay|Voltage|Constraint|IO Register|Signal Integrity|
|N6        |Instruction<12>         |IOB      |IO_L05N_2                |OUTPUT   |LVCMOS25*  |2             |12        |SLOW     |NONE**     |         |       |UNLOCATED |NO         |NONE            |
|N7        |SelectedDataToWrite<0>  |IOB      |IO_L07P_2                |OUTPUT   |LVCMOS25*  |2             |12        |SLOW     |NONE**     |         |       |UNLOCATED |NO         |NONE            |
|N8        |IsImm                   |IOB      |IO_L10P_2/D4/GCLK14      |OUTPUT   |LVCMOS25*  |2             |12        |SLOW     |NONE**     |         |       |UNLOCATED |YES        |NONE            |
|N9        |IsJz                    |IOB      |IO_L12N_2/D1/GCLK3       |OUTPUT   |LVCMOS25*  |2             |12        |SLOW     |NONE**     |         |       |UNLOCATED |YES        |NONE            |
|N10       |                        |DIFFM    |IO_L15P_2                |UNUSED   |           |2             |          |         |           |         |       |          |           |                |
|N11       |                        |DIFFMI   |IP_L17P_2                |UNUSED   |           |2             |          |         |           |         |       |          |           |                |
|N12       |                        |DIFFS    |IO_L18N_2/A20            |UNUSED   |           |2             |          |         |           |         |       |          |           |                |
|N13       |                        |         |VCCINT                   |         |           |              |          |         |           |         |1.2    |          |           |                |
|N14       |                        |DIFFM    |IO_L03P_1                |UNUSED   |           |1             |          |         |           |         |       |          |           |                |
|N15       |                        |DIFFS    |IO_L03N_1/VREF_1         |UNUSED   |           |1             |          |         |           |         |       |          |           |                |
|N16       |                        |DIFFM    |IO_L04P_1                |UNUSED   |           |1             |          |         |           |         |       |          |           |                |
|P1        |Rd<2>                   |IOB      |IO_L18N_3                |OUTPUT   |LVCMOS25*  |3             |12        |SLOW     |NONE**     |         |       |UNLOCATED |NO         |NONE            |
|P2        |Rs<3>                   |IOB      |IO_L18P_3                |OUTPUT   |LVCMOS25*  |3             |12        |SLOW     |NONE**     |         |       |UNLOCATED |NO         |NONE            |
|P3        |Instruction<11>         |IOB      |IO_L01P_2/CSO_B          |OUTPUT   |LVCMOS25*  |2             |12        |SLOW     |NONE**     |         |       |UNLOCATED |NO         |NONE            |
|P4        |PC<3>                   |IOB      |IO_L01N_2/INIT_B         |OUTPUT   |LVCMOS25*  |2             |12        |SLOW     |NONE**     |         |       |UNLOCATED |NO         |NONE            |
|P5        |Rs<1>                   |IOB      |IO_L03P_2/DOUT/BUSY      |OUTPUT   |LVCMOS25*  |2             |12        |SLOW     |NONE**     |         |       |UNLOCATED |NO         |NONE            |
|P6        |Rd<7>                   |IOB      |IO_L06N_2                |OUTPUT   |LVCMOS25*  |2             |12        |SLOW     |NONE**     |         |       |UNLOCATED |NO         |NONE            |
|P7        |SelectedDataToWrite<4>  |IOB      |IO_L07N_2                |OUTPUT   |LVCMOS25*  |2             |12        |SLOW     |NONE**     |         |       |UNLOCATED |NO         |NONE            |
|P8        |IsJg                    |IOB      |IO_L10N_2/D3/GCLK15      |OUTPUT   |LVCMOS25*  |2             |12        |SLOW     |NONE**     |         |       |UNLOCATED |YES        |NONE            |
|P9        |IsMemAccess             |IOB      |IO_L12P_2/D2/GCLK2       |OUTPUT   |LVCMOS25*  |2             |12        |SLOW     |NONE**     |         |       |UNLOCATED |YES        |NONE            |
|P10       |                        |DIFFM    |IO_L14P_2                |UNUSED   |           |2             |          |         |           |         |       |          |           |                |
|P11       |                        |DIFFS    |IO_L16N_2/A22            |UNUSED   |           |2             |          |         |           |         |       |          |           |                |
|P12       |IsJl                    |IOB      |IO_L18P_2/A21            |OUTPUT   |LVCMOS25*  |2             |12        |SLOW     |NONE**     |         |       |UNLOCATED |NO         |NONE            |
|P13       |                        |IOB      |IO/VREF_2                |UNUSED   |           |2             |          |         |           |         |       |          |           |                |
|P14       |                        |DIFFM    |IO_L20P_2/VS0/A17        |UNUSED   |           |2             |          |         |           |         |       |          |           |                |
|P15       |                        |DIFFS    |IO_L02N_1/A13            |UNUSED   |           |1             |          |         |           |         |       |          |           |                |
|P16       |                        |DIFFM    |IO_L02P_1/A14            |UNUSED   |           |1             |          |         |           |         |       |          |           |                |
|R1        |Rs<2>                   |IOB      |IO_L19N_3                |OUTPUT   |LVCMOS25*  |3             |12        |SLOW     |NONE**     |         |       |UNLOCATED |NO         |NONE            |
|R2        |PC<0>                   |IOB      |IO_L19P_3                |OUTPUT   |LVCMOS25*  |3             |12        |SLOW     |NONE**     |         |       |UNLOCATED |NO         |NONE            |
|R3        |                        |DIFFSI   |IP_L02N_2                |UNUSED   |           |2             |          |         |           |         |       |          |           |                |
|R4        |PC<2>                   |IOB      |IO/VREF_2                |OUTPUT   |LVCMOS25*  |2             |12        |SLOW     |NONE**     |         |       |UNLOCATED |NO         |NONE            |
|R5        |                        |         |VCCO_2                   |         |           |2             |          |         |           |         |2.50   |          |           |                |
|R6        |SelectedDataToWrite<7>  |IOB      |IO_L06P_2                |OUTPUT   |LVCMOS25*  |2             |12        |SLOW     |NONE**     |         |       |UNLOCATED |NO         |NONE            |
|R7        |                        |DIFFMI   |IP_L08P_2                |UNUSED   |           |2             |          |         |           |         |       |          |           |                |
|R8        |                        |         |GND                      |         |           |              |          |         |           |         |       |          |           |                |
|R9        |                        |DIFFSI   |IP_L11N_2/M2/GCLK1       |UNUSED   |           |2             |          |         |           |         |       |          |           |                |
|R10       |IsMove                  |IOB      |IO_L14N_2/VREF_2         |OUTPUT   |LVCMOS25*  |2             |12        |SLOW     |NONE**     |         |       |UNLOCATED |YES        |NONE            |
|R11       |                        |DIFFM    |IO_L16P_2/A23            |UNUSED   |           |2             |          |         |           |         |       |          |           |                |
|R12       |                        |         |VCCO_2                   |         |           |2             |          |         |           |         |2.50   |          |           |                |
|R13       |                        |DIFFS    |IO_L19N_2/VS1/A18        |UNUSED   |           |2             |          |         |           |         |       |          |           |                |
|R14       |                        |DIFFS    |IO_L20N_2/CCLK           |UNUSED   |           |2             |          |         |           |         |       |          |           |                |
|R15       |                        |DIFFS    |IO_L01N_1/A15            |UNUSED   |           |1             |          |         |           |         |       |          |           |                |
|R16       |                        |DIFFM    |IO_L01P_1/A16            |UNUSED   |           |1             |          |         |           |         |       |          |           |                |
|T1        |                        |         |GND                      |         |           |              |          |         |           |         |       |          |           |                |
|T2        |                        |IBUF     |IP                       |UNUSED   |           |2             |          |         |           |         |       |          |           |                |
|T3        |                        |DIFFMI   |IP_L02P_2                |UNUSED   |           |2             |          |         |           |         |       |          |           |                |
|T4        |Instruction<8>          |IOB      |IO_L04P_2                |OUTPUT   |LVCMOS25*  |2             |12        |SLOW     |NONE**     |         |       |UNLOCATED |NO         |NONE            |
|T5        |PC<4>                   |IOB      |IO_L04N_2                |OUTPUT   |LVCMOS25*  |2             |12        |SLOW     |NONE**     |         |       |UNLOCATED |NO         |NONE            |
|T6        |                        |         |VCCAUX                   |         |           |              |          |         |           |         |2.5    |          |           |                |
|T7        |                        |DIFFSI   |IP_L08N_2/VREF_2         |UNUSED   |           |2             |          |         |           |         |       |          |           |                |
|T8        |SelectedDataToWrite<1>  |IOB      |IO/D5                    |OUTPUT   |LVCMOS25*  |2             |12        |SLOW     |NONE**     |         |       |UNLOCATED |NO         |NONE            |
|T9        |                        |DIFFMI   |IP_L11P_2/RDWR_B/GCLK0   |UNUSED   |           |2             |          |         |           |         |       |          |           |                |
|T10       |IsJnz                   |IOB      |IO/M1                    |OUTPUT   |LVCMOS25*  |2             |12        |SLOW     |NONE**     |         |       |UNLOCATED |YES        |NONE            |
|T11       |                        |         |VCCAUX                   |         |           |              |          |         |           |         |2.5    |          |           |                |
|T12       |                        |IBUF     |IP                       |UNUSED   |           |2             |          |         |           |         |       |          |           |                |
|T13       |                        |DIFFM    |IO_L19P_2/VS2/A19        |UNUSED   |           |2             |          |         |           |         |       |          |           |                |
|T14       |                        |IBUF     |IP                       |UNUSED   |           |2             |          |         |           |         |       |          |           |                |
|T15       |                        |         |DONE                     |         |           |              |          |         |           |         |       |          |           |                |
|T16       |                        |         |GND                      |         |           |              |          |         |           |         |       |          |           |                |
+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+

* Default value.
** This default Pullup/Pulldown value can be overridden in Bitgen. 
****** Special VCCO requirements may apply. Please consult the device 
       family datasheet for specific guideline on VCCO requirements. 


